pid,nom,cpu,memoire_MB,etat,heure_lancement,anomalie
4156,SynTPEnhService.exe,0.0,4.89,running,01:01:05,normal
4180,svchost.exe,0.0,3.28,running,01:01:05,normal
4220,svchost.exe,0.0,7.29,running,01:01:06,normal
4264,svchost.exe,0.0,19.28,running,01:01:06,normal
4272,valWBFPolicyService.exe,0.0,2.35,running,01:01:06,normal
4336,valWbioSyncSvc.exe,0.0,5.41,running,01:01:06,normal
4400,DataExchangeHost.exe,0.0,15.75,running,02:03:32,normal
4720,svchost.exe,0.0,13.12,running,01:03:31,normal
4772,svchost.exe,0.0,2.36,running,01:01:06,normal
4812,msedge.exe,0.0,11.34,running,12:33:55,normal
4852,Code.exe,0.0,51.65,running,17:58:49,anormal
4948,svchost.exe,0.0,14.15,running,01:01:58,normal
4996,svchost.exe,0.0,7.33,running,01:01:06,normal
5028,StartMenuExperienceHost.exe,0.0,41.73,running,01:02:08,normal
5152,svchost.exe,0.0,5.61,running,15:13:01,normal
5168,chrome.exe,0.0,34.22,running,01:03:05,normal
5248,svchost.exe,0.0,4.82,running,01:01:07,normal
5272,Code.exe,0.0,19.59,running,17:58:43,normal
5352,conhost.exe,0.0,5.43,running,17:59:28,normal
5360,dllhost.exe,0.0,8.07,running,01:01:19,normal
5588,svchost.exe,0.0,5.19,running,01:01:55,normal
5632,svchost.exe,0.0,12.35,running,01:01:55,normal
5720,conhost.exe,0.0,3.97,running,01:01:57,normal
5732,sihost.exe,0.0,22.93,running,01:01:58,normal
5856,SensorDBSynch.exe,0.0,1.38,running,01:01:57,normal
5872,msedge.exe,0.0,25.59,running,02:01:31,normal
5924,AdobeIPCBroker.exe,0.0,4.71,running,01:02:44,normal
5956,audiodg.exe,0.0,16.94,running,09:19:25,normal
6004,opera_crashreporter.exe,0.0,7.03,running,06:45:26,normal
6156,svchost.exe,0.0,3.24,running,01:01:58,normal
6256,ctfmon.exe,0.0,21.18,running,01:01:58,normal
6348,igfxEM.exe,0.0,7.58,running,01:01:58,normal
6360,igfxHK.exe,0.0,5.29,running,01:01:59,normal
6556,svchost.exe,0.0,14.06,running,01:01:59,normal
6592,explorer.exe,0.0,140.94,running,01:01:59,anormal
6604,SynTPLpr.exe,0.0,3.01,running,01:01:59,normal
6636,SynLenovoHelper.exe,0.0,3.53,running,01:01:59,normal
6668,CompPkgSrv.exe,0.0,5.02,running,01:02:51,normal
6732,opera.exe,0.0,28.53,running,06:45:41,normal
6780,svchost.exe,0.0,7.03,running,01:01:59,normal
6852,opera.exe,0.0,13.41,running,06:45:40,normal
6904,SynTPHelper.exe,0.0,3.27,running,01:02:00,normal
6912,svchost.exe,0.0,8.2,running,01:02:00,normal
7036,chrome.exe,0.0,44.94,running,15:48:49,anormal
7044,msedgewebview2.exe,0.0,12.43,running,01:04:06,normal
7188,msedgewebview2.exe,0.0,1.51,stopped,01:04:20,normal
7296,RuntimeBroker.exe,0.0,18.86,running,01:02:09,normal
7416,dllhost.exe,0.0,14.78,running,01:02:30,normal
7588,SearchApp.exe,0.0,6.82,stopped,01:02:41,normal
7624,chrome.exe,0.0,16.11,running,12:07:46,normal
7636,svchost.exe,0.0,14.21,running,01:03:51,normal
7700,svchost.exe,0.0,3.0,running,01:03:31,normal
7704,svchost.exe,0.0,14.54,running,01:02:10,normal
7852,rundll32.exe,0.0,8.69,running,02:10:06,normal
7860,taskhostw.exe,0.0,58.71,running,15:13:01,normal
7892,svchost.exe,0.0,14.01,running,08:53:02,normal
7928,SecurityHealthSystray.exe,0.0,5.15,running,01:02:26,normal
7968,msedge.exe,0.0,14.39,running,02:01:31,normal
8064,RuntimeBroker.exe,0.0,4.25,running,01:32:00,normal
8072,pet.exe,0.0,7.29,running,15:17:35,normal
8116,msedge.exe,0.0,13.79,running,02:04:03,normal
8140,RuntimeBroker.exe,0.0,25.81,running,01:02:12,normal
8156,msedgewebview2.exe,0.0,11.79,stopped,01:04:20,normal
8208,dllhost.exe,0.0,7.44,running,01:02:13,normal
8264,Code.exe,0.0,11.29,running,17:59:39,normal
8392,opera.exe,0.0,29.86,running,06:45:26,normal
8452,Code.exe,0.0,198.26,running,17:58:43,anormal
8612,svchost.exe,0.0,16.53,running,01:02:15,normal
8728,svchost.exe,0.0,16.45,running,01:02:15,normal
8804,LockApp.exe,0.0,13.5,stopped,01:54:56,normal
8960,opera.exe,0.0,19.27,running,06:45:41,normal
8992,opera.exe,0.0,113.91,running,06:45:26,anormal
9000,TextInputHost.exe,0.0,15.49,running,01:02:17,normal
9020,chrome.exe,0.0,492.31,running,01:03:26,anormal
9096,powershell.exe,0.0,61.62,running,15:18:01,normal
9192,opera.exe,0.0,14.82,running,06:45:29,normal
9612,WebViewHost.exe,0.0,23.64,running,01:02:36,normal
9696,opera.exe,0.0,36.11,running,06:45:49,normal
9816,svchost.exe,0.0,28.01,running,14:50:57,normal
9868,opera.exe,0.0,19.39,running,06:45:46,normal
9976,chrome.exe,0.0,54.08,running,06:19:13,anormal
10012,python.exe,0.0,7.87,running,06:30:20,normal
10128,CCXProcess.exe,0.0,1.25,running,01:02:34,normal
10144,node.exe,0.0,20.43,running,01:02:34,normal
10152,conhost.exe,0.0,3.1,running,01:02:34,normal
10252,python.exe,0.0,3.15,running,06:30:20,normal
10260,msedge.exe,0.0,15.84,running,12:34:26,normal
10304,RuntimeBroker.exe,0.0,21.82,running,01:54:57,normal
10552,explorer.exe,0.0,17.37,running,13:23:03,normal
10632,PWRISOVM.EXE,0.0,4.96,running,01:02:40,normal
10640,RuntimeBroker.exe,0.0,5.73,running,01:02:40,normal
10696,msedgewebview2.exe,0.0,40.89,running,01:02:40,normal
10724,msedgewebview2.exe,0.0,7.91,running,01:02:40,normal
10788,powershell.exe,0.0,71.89,running,15:17:43,anormal
10968,msedgewebview2.exe,0.0,10.62,running,01:02:40,normal
10976,msedgewebview2.exe,0.0,19.39,running,01:02:40,normal
11020,msedgewebview2.exe,0.0,8.73,running,01:02:40,normal
11276,msedgewebview2.exe,0.0,5.57,stopped,01:04:19,normal
11396,RuntimeBroker.exe,0.0,24.04,running,01:06:50,normal
11588,CodeSetup-stable-4949701c880d4bdb949e3c0e6b400288da7f474b.exe,0.0,6.73,running,18:00:22,normal
11720,RAVCpl64.exe,0.0,2.66,running,01:02:48,normal
11776,MpDefenderCoreService.exe,0.0,15.86,running,17:22:13,normal
11840,vlc.exe,0.0,47.92,running,09:02:29,normal
11888,msedgewebview2.exe,0.0,5.71,stopped,01:04:19,normal
12272,chrome.exe,0.0,12.91,running,06:19:26,normal
12328,smartscreen.exe,0.0,9.09,running,15:45:30,normal
12376,chrome.exe,0.0,25.97,running,01:03:26,normal
12392,RuntimeBroker.exe,0.0,17.47,running,01:03:30,normal
12416,python.exe,0.0,3.38,running,15:49:30,normal
